OBJECTID,Kód_ADM,Kód_obce,Název_obce,Název_MOMC,Název_MOP,Kód_části_obce,Název_části_obce,Název_ulice,Typ_SO,Číslo_domovní,Číslo_orientační,Znak_čísla_orientačního,PSČ,Souřadnice_Y,Souřadnice_X,Platí_Od,x,y
218,"21,725,578","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,917,3,,"11,000","742,696.030000000030000","1,042,748.360000000000000",2013-12-11T00:00:00,"458,755.875590843150000","5,548,879.251217024400000"
219,"21,725,586","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,918,1,,"11,000","742,696.000000000000000","1,042,770.000000000000000",2013-12-11T00:00:00,"458,758.688009503300000","5,548,857.798426551700000"
220,"21,725,594","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,V kolkovně,č.p.,918,2,,"11,000","742,708.000000000000000","1,042,775.000000000000000",2013-12-11T00:00:00,"458,747.432531057860000","5,548,851.297733107600000"
221,"21,725,608","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,V kolkovně,č.p.,919,4,,"11,000","742,724.130000000000000","1,042,750.450000000000000",2013-12-11T00:00:00,"458,728.282196866350000","5,548,873.565599702300000"
222,"21,725,616","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,V kolkovně,č.p.,920,5,,"11,000","742,749.150000000020000","1,042,782.000000000000000",2013-12-11T00:00:00,"458,707.530972346660000","5,548,839.065640952400000"
223,"21,725,624","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,V kolkovně,č.p.,921,3,,"11,000","742,734.000000000000000","1,042,788.480000000000000",2013-12-11T00:00:00,"458,723.385993668810000","5,548,834.588654765900000"
224,"21,725,632","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dlouhá,č.p.,922,7,,"11,000","742,711.000000000000000","1,042,807.000000000000000",2013-12-11T00:00:00,"458,748.572783848270000","5,548,819.183098372100000"
225,"21,725,641","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,V kolkovně,č.p.,922,1,,"11,000","742,715.000000000000000","1,042,794.000000000000000",2013-12-11T00:00:00,"458,742.934980439020000","5,548,831.558599347200000"
226,"21,725,659","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dlouhá,č.p.,923,5,,"11,000","742,728.560000000060000","1,042,819.800000000000000",2013-12-11T00:00:00,"458,732.807365392330000","5,548,804.233541680500000"
227,"21,725,667","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dlouhá,č.p.,924,3,,"11,000","742,737.000000000000000","1,042,843.000000000000000",2013-12-11T00:00:00,"458,727.422080075370000","5,548,780.144825574000000"
228,"21,725,675","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,924,2,,"11,000","742,752.000000000000000","1,042,844.000000000000000",2013-12-11T00:00:00,"458,712.677637279960000","5,548,777.224475128600000"
229,"21,725,705","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,927,3,,"11,000","742,777.000000000000000","1,042,846.000000000000000",2013-12-11T00:00:00,"458,688.146428450940000","5,548,772.026715224600000"
230,"21,725,713","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Salvátorská,č.p.,927,12,,"11,000","742,793.000000000000000","1,042,842.000000000000000",2013-12-11T00:00:00,"458,671.767502295780000","5,548,773.935413029000000"
231,"21,725,730","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,928,1,,"11,000","742,765.000000000000000","1,042,865.000000000000000",2013-12-11T00:00:00,"458,702.488053710200000","5,548,754.730755657000000"
232,"21,725,837","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Rámová,č.p.,939,8,,"11,000","742,565.000000000000000","1,042,681.000000000000000",2013-12-11T00:00:00,"458,877.134692540390000","5,548,962.889374930400000"
233,"21,725,870","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Haštalská,č.p.,943,19,,"11,000","742,432.000000000000000","1,042,628.000000000000000",2013-12-11T00:00:00,"459,002.193641147580000","5,549,032.542504115000000"
234,"21,725,888","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Za Haštalem,č.p.,943,8,,"11,000","742,439.000000000000000","1,042,612.000000000000000",2013-12-11T00:00:00,"458,993.195469314230000","5,549,047.506817840000000"
235,"21,726,353","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Masná,č.p.,"1,000",16,,"11,000","742,512.000000000000000","1,042,825.000000000000000",2013-12-11T00:00:00,"458,948.202919233590000","5,548,826.924660334400000"
236,"21,726,361","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Masná,č.p.,"1,000",18,,"11,000","742,485.000000000000000","1,042,821.000000000000000",2013-12-11T00:00:00,"458,974.460011091080000","5,548,834.362649556200000"
237,"21,726,388","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,"1,002",8,,"11,000","742,677.969999999970000","1,042,608.840000000000000",2013-12-11T00:00:00,"458,755.841954344880000","5,549,019.911385934800000"
238,"21,726,639","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Elišky Krásnohorské,č.p.,"1,021",12,,"11,000","742,882.510000000010000","1,042,574.790000000000000",2013-12-11T00:00:00,"458,548.654822622430000","5,549,027.371522834500000"
239,"21,726,710","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Haštalská,č.p.,"1,031",25,,"11,000","742,396.829999999960000","1,042,595.600000000000000",2013-12-11T00:00:00,"459,032.899640585300000","5,549,069.190410560000000"
240,"21,726,752","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Elišky Krásnohorské,č.p.,"1,037",14,,"11,000","742,887.319999999950000","1,042,556.470000000000000",2013-12-11T00:00:00,"458,541.529784845190000","5,549,044.917797397800000"
